Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
Iverson,Licensed Penetration Tester,Information technology,Online,Advance,132,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,92000
Trainocate,ITIL 4 Foundation,Information technology,Both,Beginner,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,50000
Trainocate,Implementing and Administering Cisco Solutions v1.0,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,83000
Trainocate,Professional Scrum Master Certification,Information technology,Both,Advance,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,53000
Trainocate,Information System Security Professional Prep Course,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,75000
Trainocate,Microsoft Power Automate RPA Developer,Information technology,Both,Advance,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,3.5,Yes,High,50000
Trainocate,Networking in Google Cloud Platform,Information technology,Both,Advance,42,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,52000
Trainocate,Information Systems Auditor,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,93000
Trainocate,Developing Solutions for Microsoft Azure,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,58000
Trainocate,Professional Agile Leadership ,Information technology,Both,Advance,48,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,55000
Trainocate,Professional Scrum Product Owner,Information technology,Both,Advance,48,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,50000
Trainocate,Cloud Machine Learning and AI,Information technology,Both,Advance,48,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,42000
Trainocate,Enterprise Big Data Professional,Information technology,Both,Advance,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,75000
Trainocate,Microsoft Power BI Data Analyst,Information technology,Both,Advance,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,35000
Trainocate,Designing and Implementing Microsoft DevOps solutions,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,52000
Trainocate,Microsoft Information Protection Administrator,Information technology,Both,Advance,48,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,28000
Trainocate,Red Hat System Administration,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,60000
Trainocate,Administering Windows Server Hybrid Core Infrastructure,Information technology,Both,Advance,96,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,3.5,Yes,High,50000
Trainocate,Designing Cisco Enterprise Networks v1.1,Information technology,Both,Advance,120,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,36000
Trainocate,Agile Project Management Foundation,Information technology,Both,Advance,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4.5,Yes,High,50000
Trainocate,Developing on AWS,Information technology,Both,Advance,72,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,45000
mindasys,Android Security Essentials,Information technology,Online,Advance,48,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,5,Yes,High,30000
mindasys,Linux System Engineer,Information technology,Online,Advance,192,Malaysia,Kuala lumpur,Yes,No,Yes,No,No,4,Yes,High,93000
