Institute,Course,Category,Mode,Level,Duration_Hours,Country,City,Certification_provided,Practice_Assignments,Doubt_Sessions,Internship_Provided,Placement_Assistance,rating,Recorded_videos,Trainer_Grade,Price
Analytics Vidya,Data Science,Data Science,Online,Intermediate,500,India,None,Yes,Yes,,Yes,Yes,NA,Yes,High,225000
Udemy,Web Development,Computer Science,Online,Intermediate,90,United Kingdom,Bedford,Yes,Yes,No,NO,No,4.6,Yes,High,3499
Udemy,Dot net developer,Computer Science,Online,Intermediate,29.5,NA,NA,Yes,Yes,No,No,No,4.7,Yes,Medium,5200
Udemy,Chief Financial Officer,Bussiness,Online,Intermediate,10.5,NA,NA,Yes,Yes,No,No,No,4.3,Yes,High,2299
Udemy,Online Marketing,Bussiness,Online,Intermediate,16,NA,NA,Yes,Yes,No,No,No,4.5,Yes,High,2299
Udemy,Ultimate AWS,IT,Online,Intermediate,27,NA,NA,Yes,Yes,No,No,No,,Yes,Medium,3499
Udemy,Arduino Bootcamp,Engineering,Online,Intermediate,9.5,NA,NA,Yes,Yes,No,No,No,4.4,Yes,High,3499
Udemy,Website Hacking,Computer Science,Online,Advance,10.5,NA,NA,Yes,Yes,No,No,No,4.6,Yes,Medium,3499
Udemy,Microsoft Excel,IT,Online,Intermediate,10,NA,NA,Yes,No,No,No,No,4.5,Yes,High,2299
Udemy,Mixing for Music Producers,Music,Online,Intermediate,6.5,NA,NA,Yes,Yes,No,No,No,4.6,Yes,Medium,1999
Udemy,Calculus Master,Math,Online,Intermediate,12.5,NA,NA,Yes,Yes,No,No,No,4.7,Yes,Medium,3499
Geeks for Geeks,Full Stack Development,Computer Science,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,Yes,5,Yes,Low,19999
Geeks for Geeks,Amazon SDE Preparation ,IT,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,No,5,Yes,NA,1499
Geeks for Geeks,DSA,IT,Online,Advance,NA,NA,NA,No,Yes,Yes,No,Yes,4.9,Yes,Medium,19999
Geeks for Geeks,System Design,Computer Science,Online,Advance,NA,NA,NA,Yes,Yes,No,No,No,5,Yes,High,19999
Geeks for Geeks,Data Science,Computer Science,Online,Intermediate,NA,NA,NA,Yes,Yes,No,No,Yes,NA,Yes,High,19999
Geeks for Geeks,JAVA Backend Development,Computer Science,Online,Advance,NA,NA,NA,Yes,Yes,No,No,Yes,5,Yes,High,19999
Geeks for Geeks,Competitive Programming ,Computer Science,Online,Advance,NA,NA,NA,Yes,Yes,No,No,Yes,4.9,Yes,High,19999
Geeks for Geeks,Python,Computer Science,Online,Beginner,NA,NA,NA,Yes,Yes,No,No,No,4.5,Yes,Medium,1299
Harvard University,Data Science,IT,Online,Beginner,16,Massachusetts,Cambridge,Yes,Yes,Yes,No,No,NA,Yes,High,7823
Harvard University,Data Science,Data Analysis & Statistics,Online,Beginner,32,Massachusetts,Cambridge,Yes,Yes,Yes,No,No,NA,Yes,High,7823
IBM,Machine Learning,Data Analysis and Statistics,Online,Beginner,30,India,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,7823
Harvard University,Data Science,Data Science,Online,Beginner,16,Massachusetts,Cambridge,Yes,Yes,Yes,No,No,NA,Yes,High,11752
IBM,Deep Learning,Data Analysis and Statistics,Online,Intermediate,20,India,Chennai,Yes,Yes,Yes,No,No,Na,Yes,High,7809
IBM,Analyzing Data with Excel,Data Analysis and Statistics,Online,Beginner,15,India,Chennai,Yes,Yes,Yes,NO,No,NA,Yes,High,7817
IBM,Data Science,Data Analysis and Statistics,Online,Intermediate,24,india,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,11766
AdelaideX,Big Data Analytics,Computer Science,Online,Intermediate,100,Australia,Adelaide,Yes,Yes,Yes,No,No,NA,Yes,High,15713
Udemy,Full Ethical Hacking,Ethical Hacking,Online,Beginner,14,India,Gurgaon,Yes,Yes,Yes,No,No,4.6,Yes,Medium,3499
Udemy,Python,Pyhton Programming,Online,Advance,60,India,Gurgaon,Yes,Yes,Yes,No,No,4.7,Yes,Medium,3999
Udemy,Machine Learning,Machine learning,Online,Intermediate,11,India ,Guragaon,Yes,Yes,Yes,No,No,4.7,Yes,Medium,3499
IIT Bombay,Data Structures,Computer Science,Online,Intermediate,48,India,Bombay,Yes,Yes,Yes,No,No,NA,Yes,High,11775
IIT Bombay,Shell Programming,Computer Science,Online,Beginner,30,India,Bombay,Yes,Yes,Yes,No,No,NA,Yes,High,10985
IBM,Applied Bayesian for Analytics,Data Analysis Statistics,Online,Beginner,18,India,Bangalore,Yes,Yes,Yes,No,No,NA,Yes,High,11775
IBM,Data Science,Data Analysis Statistics,Online,Intermediate,35,India,Bangalore,Yes,Yes,Yes,No,No,NA,Yes,High,11775
AWS,Industrial IoT Fundamentals on AWS,Computer Science,Online,Beginner,24,India,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,3869
Microsoft,Introduction to Data Analysis using Excel,Data Analysis Statistics,Online,Beginner,16,India,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,7818
Microsoft,Analyzing Data with Excel,Business  Management,Online,Intermediate,24,India,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,7818
AWS,AWS IoT,Computer Science,Online,Intermediate,20,India,Chennai,Yes,Yes,Yes,No,No,NA,Yes,High,7818
Innomatics Research Labs,Data Science,IT,Online,Beginner,250,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,85000
Social Prachar,Data Science,IT,Online,Beginner,150,India,Hyderabad,Yes,No,No,No,No,3,No,Medium,35000
Digital Nest,Data Science,IT,Online,Beginner,120,India,Hyderabad,Yes,No,No,No,No,3.5,Yes,Medium,40000
Innomatics Research Labs,Data Science,IT,Offline,Beginner,250,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,90000
Qspiders,Java Full Stack,IT,Offline,Beginner,350,India,Pune,Yes,Yes,Yes,Yes,Yes,4,Yes,High,75000
Prime Classes,Data Science,IT,Online,Beginner,180,India,Hyderabad,Yes,Yes,Yes,Yes,No,4,No,High,49000
Aditi Digital Solution,Data Science,IT,Online,Beginner,240,India,Hyderabad,Yes,No,No,No,No,3.5,No,Low,40000
Imarticus Learning,Data Science,IT,Offline,Beginner,300,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,215000
Qspiders,Python Full stack,IT,Offline,Beginner,240,India,Pune,Yes,Yes,Yes,Yes,Yes,4,Yes,High,45000
INSAID,Artificial Intelligence,IT,Online,Beginner,450,India,NA,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,350000
Zipertec,Business Analyst,IT,Online,Beginner,80,India,NA,No,Yes,Yes,No,Yes,3.5,No,High,50000
Valaxy Tech,AWS and devops engineer,IT,Online,Advance,90,India,Bengalore,Yes,Yes,Yes,No,Yes,4.7,Yes,High,25000
Qspiders,Software Testing,IT,Offline,Advance,360,india,Bengalore,Yes,Yes,Yes,No,Yes,4,Yes,High,36000
Gutsy ,Data analytics,IT,Offline,Beginner,140,India,Bengalore,Yes,Yes,Yes,No,Yes,3.5,Yes,Medium,25000
Simplilearn,Automation Testing,IT,Online,Beginner,240,India,Bengalore,Yes,Yes,Yes,No,Yes,4,Yes,High,32000
360DigiTMG,Data Science,Data Science,Offline,Beginner,200,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.1,Yes,High,33000
Almabetter,Data Science,Data Science,Online,Beginner,244,Usa,,Yes,Yes,Yes,No,Yes,3.6,Yes,High,275000
CloudyMl,Data Science,Data Science,Online,Beginner,300,India,Hyderabad,Yes,Yes,Yes,No,No,4.2,Yes,Medium,4000
Tutedude,Data Science,Data Science,Online,Beginner,255,India,Delhi,Yes,Yes,Yes,Yes,No,3.8,Yes,Medium,3000
NIIT,Data Science,Data Science,Offline,Beginner,200,India,Hyderabad,Yes,Yes,Yes,No,Yes,4,Yes,High,225000
Typing teacher,English Typing,General,Online,Intermediate,10,India,India,Yes,No,No,No,No,3.5,No,High,1000
NPTEL,Artificial Intelligence,AI,Online,Beginner,125,India,Hyderabad ,Yes,Yes,No,No,No,3,Yes,Medium,1000
Coursera ,Philosophy ,Humanities,Online,Beginner,20,UK,Edinburgh ,Yes,Yes,No,No,No,5,Yes,High,0
Velocity,Tableau,Analytics,Online,Beginner,20,india,pune,Yes,Yes,Yes,No,No,4,Yes,High,12000
Udemy,HTML,Web Development,Online,Beginner,20,India,Usa,Yes,Yes,No,No,No,3,Yes,Medium,2000
360DigiTMG,Data analytics,Analytics,Offline,Intermediate,200,India,Hyderabad ,Yes,Yes,Yes,No,Yes,3,Yes,Medium,28000
cisco,Python,IT,Online,Beginner,12,Indian ,Hyderabad ,Yes,Yes,Yes,Yes,Yes,4,Yes,High,"30,000"
NPTEL,Python,IT,Online,Beginner,125,India,Hyderabad ,Yes,Yes,No,No,No,2,No,Medium,1500
Pantech,Python,IT,Online,Beginner,120,India,Hyderabad,Yes,Yes,No,Yes,No,3,Yes,High,1000
cisco,cyber security,IT,Online,Intermediate,12,India,Hyderabad,Yes,No,No,No,Yes,4.5,No,High,0
Udemy,Deep Learning,IT,Online,Beginner,22,India,Hyderabad,Yes,No,No,No,No,4.4,Yes,High,455
Simplilearn,Web Development,Web Development,Online,Beginner,220,India,Hyerabad,Yes,Yes,Yes,Yes,Yes,4.1,Yes,High,36000
Qspiders,Testing,Testing,Offline,Beginner,300,India,hyderabad,Yes,Yes,Yes,Yes,Yes,3.5,Yes,Medium,30000
360DigiTMG,Data Science and AI,IT,Online,Beginner,500,India,Hyderabad,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,60000
Jspyders,Full Stack Development,IT,Offline,Beginner,500,India,Hyderabad,Yes,Yes,Yes,No,Yes,4.7,No,High,35000
Scaler,Artificial Intelligence,IT,Online,Beginner,,India,Benguluru,Yes,,,No,Yes,4.5,Yes,High,
Simplilearn,Business Analyst,IT,Online,Beginner,,India,Benguluru,Yes,,Yes,No,Yes,4.5,Yes,High,52000
Jspyders,Testing,Testing,Offline,Beginner,,India,Hyderbad,Yes,,Yes,No,Yes,4.5,No,High,15000
Udemy,Python,IT,Online,Beginner,30,USA,,Yes,No,No,No,No,4.5,Yes,High,3500
Great Learning,Data Science and AI,IT,Online,Beginner,,,,Yes,Yes,Yes,No,Yes,4.5,Yes,High,300000
Udemy,Blockchain,IT,Online,Beginner,30,USA,,Yes,No,No,No,No,4.5,Yes,High,3500
Coursera ,Data analytics,IT,Online,Beginner,15,USA,,Yes,,No,No,No,4.5,Yes,High,8000
Intellipaat,Data analytics,IT,Online,Advance,658,India,Bengaluru,Yes,,Yes,No,Yes,4.6,Yes,High,54000
Udemy,cyber security,Network And Security,Online,Beginner,,USA,,Yes,,No,No,No,4.6,Yes,High,3500
Simplilearn,Cloud Computing,IT,Online,Advance,,India,Bengaluru,Yes,Yes,Yes,No,Yes,4.5,Yes,High,61000
Udemy,Internet of Things Foundation,IT,Online,Beginner,6.5,USA,,Yes,No,No,No,No,4.4,Yes,High,3500
Geeklearn,Data Science,Data science,Online,Beginner,,India,Bengaluru,Yes,Yes,Yes,No,Yes,4.7,Yes,High,278000
Scaler,Data Science,Data Science,Online,Beginner,,India,Bengaluru,Yes,Yes,Yes,No,Yes,4.5,Yes,High,125000
Nulearnedu,Data analytics,IT,Online,Advance,100000,India,Delhi,Yes,Yes,Yes,No,Yes,4.2,Yes,High,70000
Zenclassofficial,Full Stack Development,IT,Online,Beginner,200,India,Delhi,Yes,Yes,Yes,No,Yes,4,Yes,High,89999
Newtonschool,Full Stack Development,IT,Online,Advance,200,India,,Yes,Yes,Yes,Yes,Yes,4.5,Yes,High,80000
Almabetter,Data Science,Data Science,Online,Beginner,60,India,Bengaluru,Yes,Yes,Yes,Yes,Yes,4.6,Yes,High,20000
Edureka,Data Science,Data Science,Online,Advance,200,India,Delhi,Yes,Yes,Yes,No,Yes,4.4,Yes,High,40000
Lets upgradde,Full Stack Development,IT,Online,Advance,210,India,Bengaluru,Yes,Yes,Yes,No,Yes,4.5,Yes,High,90000
Skillslash learn,Software Development,IT,Online,Advance,320,India,Mumbai,Yes,Yes,Yes,No,Yes,4.3,Yes,High,95000
Miles education,Account,Non IT,Offline,Advance,100000,India,Pune,Yes,Yes,Yes,No,Yes,4.4,Yes,High,135000
DV Analytics,Tableau,IT,Online,Advance,36,India,Bengaluru,Yes,Yes,Yes,No,Yes,4.1,Yes,High,30000
Imarticus Learning,Supply chain management,IT,Online,Advance,260,India,Mumbai,Yes,Yes,Yes,No,Yes,4.1,Yes,High,160000
The IOT academy,Deep Learning,Data Science,Online,Advance,240,India,Noida,Yes,Yes,Yes,No,Yes,4.4,Yes,High,120000
